"","Player","G","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Al Jefferson",53,53,1743,401,826,0.485,2,13,0.154,126,155,0.813,110,392,502,112,52,61,64,120,930
"2","Paul Millsap",54,54,1644,303,624,0.486,12,34,0.353,195,263,0.741,126,274,400,140,70,57,92,160,813
"3","Randy Foye",54,44,1505,211,518,0.407,122,289,0.422,93,115,0.809,12,69,81,119,43,19,69,129,637
"4","Gordon Hayward",44,10,1171,196,458,0.428,51,130,0.392,152,185,0.822,34,92,126,109,31,25,81,82,595
"5","Derrick Favors",49,2,1077,170,357,0.476,0,4,0,117,171,0.684,108,199,307,43,43,70,72,150,457
"6","Marvin Williams",47,45,1209,138,326,0.423,41,121,0.339,60,76,0.789,28,141,169,45,25,28,47,63,377
"7","Enes Kanter",52,1,745,139,257,0.541,0,0,0,54,72,0.75,97,115,212,21,21,29,77,90,332
"8","Mo Williams",24,24,754,119,270,0.441,32,85,0.376,40,43,0.93,13,36,49,160,22,7,65,52,310
"9","DeMarre Carroll",47,7,835,116,241,0.481,13,44,0.295,61,82,0.744,71,81,152,43,43,18,22,81,306
"10","Alec Burks",38,0,610,82,208,0.394,16,48,0.333,57,79,0.722,21,55,76,52,16,9,40,68,237
"11","Jamaal Tinsley",47,30,991,72,197,0.365,31,102,0.304,13,18,0.722,14,84,98,236,49,11,87,80,188
"12","Earl Watson",35,0,638,31,93,0.333,5,24,0.208,12,17,0.706,14,53,67,148,29,5,47,76,79
"13","Jeremy Evans",24,0,129,10,22,0.455,0,1,0,13,21,0.619,13,16,29,4,6,8,4,17,33
